Nombre, Ciudad
1,000 Year Old Egg, Peking
Babylonian Tablet, Baghdad
Boar's Tusk, Port Moresby
Chandelier from the Opera House, Sydney
Constantine's Jeweled Cross, Istanbul
Crown Jewels, London
Flying Carpet, Baghdad
Golden Buddha, Bangkok
Incan Gold Mask, Lima
Islamic Manuscript, Bamako
Ivan the Terrible's Crown, Moscow
King Tut's Mask, Cairo
Mask of Montezuma, Mexico City
Mask of Priam, Athens
Merlion the Golden Lion, Singapore
Painting from the Kremlin, Moscow
Pope's Ring, Rome
Rare Mali Empire Pottery, Bamako
Rare Tea Plant, Colombo
Royal Quartz Collection, Kathmandu
Sernedip Ruby, Colombo
Silver LLama, Lima
Solid Gold Bola, Buenos Aires
Stanley Cup, Montreal
Stuffed Parrot, Rio de Janeiro
The Rockettes, New York
Viking Helmet, Oslo
Watusi King's Headdress, Kigali
