Nombre, Ciudad
El Huevo De Los 1000 Años, Pekin
Tabla Babilonica, Baghdad
Colmillo del Jabali, Puerto Moresby
Candelabro De La Opera, Sidney
Cruz Con Joyas De Constantine, Estambul
Joys De La Corona, Londres
Alfombra Voladora, Baghdad
Buda Dorado, Bangkok
Mascara Dorada Del Inca, Lima
Manuscrito Islamico, Bamako
La Corona De Ivan El Terrible, Moscu
La Corona De Tutankamon, Cairo
La Mascara De Montezuma, Ciudad De Mexico
La Mascara De Priamo, Atenas
Merlion El Leon Dorado, Singpur
Cuadro Del Kremlin, Moscu
Anillo Del Papa, Roma
Basija Rara Del Imperio Mali, Bamako
Planta De Te Rara, Colombo
La Coleccion De Cuarzo Real, Katmandu
Rubi de Serendip, Colombo
La LLama De Plata, Lima
Balon De Oro, Buenos Aires
Copa Stanley, Montreal
Loro Relleno, Rio de Janeiro
The Rockettes, Nueva York
Caso Vikingo, Oslo
El Tocado Del Rey Watusi, Kigali
